Date,Close
1/2/2020,29.62
1/3/2020,29.34
1/6/2020,29.37
1/7/2020,29.2
1/8/2020,28.62
1/9/2020,29.43
1/10/2020,29.23
1/13/2020,30.52
1/14/2020,31.13
1/15/2020,30.5
1/16/2020,29.27
1/17/2020,29.37
1/21/2020,30.14
1/22/2020,29.02
1/23/2020,28.03
1/24/2020,28.47
1/27/2020,28.98
1/28/2020,29.26
1/29/2020,28.25
1/30/2020,28.62
1/31/2020,26.51
2/3/2020,28.2
2/4/2020,27.34
2/5/2020,26.9
2/6/2020,27.71
2/7/2020,27.88
2/10/2020,28.05
2/11/2020,27.73
2/12/2020,28.1
2/13/2020,28.87
2/14/2020,28.7
2/18/2020,28.92
2/19/2020,29.3
2/20/2020,29.24
2/21/2020,30.4
2/24/2020,30.84
2/25/2020,29.49
2/26/2020,30.74
2/27/2020,30.07
2/28/2020,29.6
3/2/2020,28.93
3/3/2020,27.75
3/4/2020,27.93
3/5/2020,28.52
3/6/2020,28.02
3/9/2020,27.29
3/10/2020,27.11
3/11/2020,25.46
3/12/2020,22.77
3/13/2020,26.05
3/16/2020,24.27
3/17/2020,27.91
3/18/2020,30.85
3/19/2020,32.42
3/20/2020,31.92
3/23/2020,32.14
3/24/2020,33.65
3/25/2020,31.07
3/26/2020,33.81
3/27/2020,36.16
3/30/2020,38
3/31/2020,37.49
4/1/2020,35.98
4/2/2020,35.06
4/3/2020,33.37
4/6/2020,33.22
4/7/2020,33.31
4/8/2020,36.93
4/9/2020,42.61
4/13/2020,40.24
4/14/2020,41.32
4/15/2020,43.91
4/16/2020,44.91
4/17/2020,43.78
4/20/2020,44.72
4/21/2020,43.44
4/22/2020,44.82
4/23/2020,43.35
4/24/2020,44.04
4/27/2020,46.18
4/28/2020,44.16
4/29/2020,45
4/30/2020,43.24
5/1/2020,42.9
5/4/2020,39.24
5/5/2020,42.09
5/6/2020,40.37
5/7/2020,39.4
5/8/2020,39.41
5/11/2020,39.05
5/12/2020,40.36
5/13/2020,41.77
5/14/2020,41.29
5/15/2020,42.11
5/18/2020,41.08
5/19/2020,40.05
5/20/2020,39.45
5/21/2020,40.19
5/22/2020,42.75
5/26/2020,41.71
5/27/2020,40.13
5/28/2020,41.79
5/29/2020,44.44
6/1/2020,45.09
6/2/2020,49.42
6/3/2020,48.22
6/4/2020,49.11
6/5/2020,48.44
6/8/2020,48.77
6/9/2020,51.51
6/10/2020,49.63
6/11/2020,49.18
6/12/2020,48.13
