Date,Close
1/2/2020,10.68
1/3/2020,10.68
1/6/2020,10.8
1/7/2020,10.9
1/8/2020,11.26
1/9/2020,12.25
1/10/2020,12.39
1/13/2020,12
1/14/2020,11.94
1/15/2020,12.7
1/16/2020,12.99
1/17/2020,13.57
1/21/2020,13.83
1/22/2020,14.27
1/23/2020,14.44
1/24/2020,14.36
1/27/2020,15
1/28/2020,15.08
1/29/2020,14.5
1/30/2020,14.67
1/31/2020,14.53
2/3/2020,14.51
2/4/2020,14.57
2/5/2020,14.25
2/6/2020,13.61
2/7/2020,14.5
2/10/2020,16.02
2/11/2020,16.82
2/12/2020,18.35
2/13/2020,17.91
2/14/2020,17.33
2/18/2020,17.29
2/19/2020,17.97
2/20/2020,17.65
2/21/2020,16.95
2/24/2020,16.64
2/25/2020,16.96
2/26/2020,16.83
2/27/2020,16.17
2/28/2020,16.02
3/2/2020,16.66
3/3/2020,16.41
3/4/2020,18.69
3/5/2020,17.94
3/6/2020,16.83
3/9/2020,17.01
3/10/2020,16.6
3/11/2020,14.5
3/12/2020,11.17
3/13/2020,12.45
3/16/2020,11.8
3/17/2020,12.89
3/18/2020,11.4
3/19/2020,11.4
3/20/2020,11.48
3/23/2020,11.3
3/24/2020,11.85
3/25/2020,13
3/26/2020,13.21
3/27/2020,12.69
3/30/2020,12.21
3/31/2020,12.34
4/1/2020,11.77
4/2/2020,12.25
4/3/2020,12.25
4/6/2020,12.61
4/7/2020,13.03
4/8/2020,14.75
4/9/2020,14.51
4/13/2020,14.25
4/14/2020,14.75
4/15/2020,15.49
4/16/2020,16.09
4/17/2020,16.95
4/20/2020,17.57
4/21/2020,17.2
4/22/2020,17.15
4/23/2020,17.53
4/24/2020,19.35
4/27/2020,19.52
4/28/2020,18.24
4/29/2020,19.4
4/30/2020,19.46
5/1/2020,20.12
5/4/2020,20.99
5/5/2020,21.61
5/6/2020,23.83
5/7/2020,23.51
5/8/2020,23.45
5/11/2020,24.46
5/12/2020,26.3
5/13/2020,25.86
5/14/2020,25.31
5/15/2020,29.23
5/18/2020,29.55
5/19/2020,29.57
5/20/2020,29.69
5/21/2020,28.55
5/22/2020,29.11
5/26/2020,33.39
5/27/2020,35.15
5/28/2020,37.25
5/29/2020,39.7
6/1/2020,43.7
6/2/2020,41.27
6/3/2020,40.16
6/4/2020,40.53
6/5/2020,39.34
6/8/2020,38
6/9/2020,39.41
6/10/2020,39.11
6/11/2020,36.28
6/12/2020,36.88
6/15/2020,41.79
6/16/2020,40.57
6/17/2020,40.72
6/18/2020,40.84
6/19/2020,42
6/22/2020,38.26
6/23/2020,37.99
6/24/2020,37.56
6/25/2020,36.07
6/26/2020,33.34
6/29/2020,33.54
6/30/2020,33.26
7/1/2020,33.87
7/2/2020,33.06
7/6/2020,32.42
7/7/2020,30.6
7/8/2020,33.1
7/9/2020,32.81
7/10/2020,32.43
7/13/2020,29.5
7/14/2020,30.22
7/15/2020,32.56
7/16/2020,35.64
7/17/2020,35.36
7/20/2020,35.41
7/21/2020,37.55
7/22/2020,37.75
7/23/2020,36.21
7/24/2020,37.55
7/27/2020,35.12
7/28/2020,34.63
7/29/2020,35.89
7/30/2020,34.79
7/31/2020,33.38
8/3/2020,32.95
8/4/2020,33.06
8/5/2020,32.55
8/6/2020,33.65
8/7/2020,34.09
8/10/2020,31.61
8/11/2020,32.04
8/12/2020,33.74
8/13/2020,36.05
8/14/2020,33.91
8/17/2020,34.68
8/18/2020,37.21
8/19/2020,36.27
8/20/2020,36.32
8/21/2020,35.15
8/24/2020,35.81
8/25/2020,39.06
8/26/2020,38.86
8/27/2020,39.06
8/28/2020,36.32
8/31/2020,35.36
9/1/2020,36.93
9/2/2020,39.9
9/3/2020,38.27
9/4/2020,37
9/8/2020,37.01
9/9/2020,40.38
9/10/2020,42.54
9/11/2020,41.46
9/14/2020,48.62
9/15/2020,48.21
9/16/2020,51.03
9/17/2020,53.11
9/18/2020,55.39
9/21/2020,51.49
9/22/2020,53.94
9/23/2020,50.12
9/24/2020,50.57
9/25/2020,53.19
9/28/2020,56.89
9/29/2020,55.74
9/30/2020,58.84
10/1/2020,61.83
10/2/2020,63.78
10/5/2020,60.55
10/6/2020,56.78
10/7/2020,53.33
10/8/2020,51.13
10/9/2020,48.82
10/12/2020,50.6
10/13/2020,51.18
10/14/2020,47.56
10/15/2020,45
10/16/2020,44.34
10/19/2020,44.58
10/20/2020,42.53
10/21/2020,41.5
10/22/2020,43
10/23/2020,42.74
10/26/2020,39.69
10/27/2020,38.7
10/28/2020,38.15
10/29/2020,37.37
10/30/2020,35.4
11/2/2020,35.72
11/3/2020,37.47
11/4/2020,39.46
11/5/2020,43.03
11/6/2020,42.32
11/9/2020,41.5
11/10/2020,40.36
11/11/2020,41.64
11/12/2020,41.25
11/13/2020,42.84
11/16/2020,42.73
11/17/2020,46.61
11/18/2020,47.68
11/19/2020,49.32
11/20/2020,48.23
11/23/2020,48.03
11/24/2020,47.89
11/25/2020,50.23
11/27/2020,52.75
11/30/2020,52.36
12/1/2020,50.78
12/2/2020,51.1
