Date,Close
1/2/2020,1.05
1/3/2020,0.96
1/6/2020,0.97
1/7/2020,1.09
1/8/2020,0.95
1/9/2020,0.93
1/10/2020,0.93
1/13/2020,0.91
1/14/2020,0.99
1/15/2020,0.99
1/16/2020,1.02
1/17/2020,1.03
1/21/2020,0.98
1/22/2020,0.98
1/23/2020,0.94
1/24/2020,0.93
1/27/2020,0.95
1/28/2020,1.01
1/29/2020,0.99
1/30/2020,1.07
1/31/2020,1.04
2/3/2020,1.02
2/4/2020,1.02
2/5/2020,1.15
2/6/2020,1.11
2/7/2020,1.14
2/10/2020,1.11
2/11/2020,1.18
2/12/2020,1.26
2/13/2020,1.25
2/14/2020,1.25
2/18/2020,1.11
2/19/2020,1.07
2/20/2020,1.04
2/21/2020,1.03
2/24/2020,0.98
2/25/2020,0.95
2/26/2020,0.96
2/27/2020,0.93
2/28/2020,0.86
3/2/2020,0.88
3/3/2020,0.9
3/4/2020,0.91
3/5/2020,0.91
3/6/2020,0.89
3/9/2020,0.72
3/10/2020,0.74
3/11/2020,0.72
3/12/2020,0.54
3/13/2020,0.6
3/16/2020,0.49
3/17/2020,0.48
3/18/2020,0.4
3/19/2020,0.48
3/20/2020,0.52
3/23/2020,0.45
3/24/2020,0.52
3/25/2020,0.5
3/26/2020,0.52
3/27/2020,0.5
3/30/2020,0.49
3/31/2020,0.45
4/1/2020,0.4
4/2/2020,0.45
4/3/2020,0.46
4/6/2020,0.5
4/7/2020,0.5
4/8/2020,0.48
4/9/2020,0.46
4/13/2020,0.44
4/14/2020,0.45
4/15/2020,0.45
4/16/2020,0.43
4/17/2020,0.43
4/20/2020,0.43
4/21/2020,0.42
4/22/2020,0.42
4/23/2020,0.5
4/24/2020,0.47
4/27/2020,0.46
4/28/2020,0.44
4/29/2020,0.48
4/30/2020,0.45
5/1/2020,0.44
5/4/2020,0.43
5/5/2020,0.45
5/6/2020,0.52
5/7/2020,0.67
5/8/2020,0.9
5/11/2020,0.76
5/12/2020,0.62
5/13/2020,0.74
5/14/2020,0.86
5/15/2020,0.8
5/18/2020,0.81
5/19/2020,0.81
5/20/2020,0.83
5/21/2020,0.71
5/22/2020,0.73
5/26/2020,0.72
5/27/2020,0.72
5/28/2020,0.73
5/29/2020,0.7
6/1/2020,0.73
6/2/2020,0.82
6/3/2020,0.92
6/4/2020,1.09
6/5/2020,1
6/8/2020,0.91
6/9/2020,0.9
6/10/2020,1.25
6/11/2020,0.93
6/12/2020,0.93
6/15/2020,0.95
6/16/2020,0.94
6/17/2020,0.88
6/18/2020,0.86
6/19/2020,0.84
6/22/2020,1.09
6/23/2020,1.1
6/24/2020,0.98
6/25/2020,1.01
6/26/2020,0.92
6/29/2020,0.89
6/30/2020,0.91
7/1/2020,0.93
7/2/2020,0.91
7/6/2020,0.94
7/7/2020,0.9
7/8/2020,1
7/9/2020,0.94
7/10/2020,0.93
7/13/2020,0.88
7/14/2020,0.91
7/15/2020,0.92
7/16/2020,0.91
7/17/2020,0.9
7/20/2020,0.93
7/21/2020,0.94
7/22/2020,1.05
7/23/2020,0.96
7/24/2020,1.04
7/27/2020,1.42
7/28/2020,1.71
7/29/2020,1.82
7/30/2020,1.78
7/31/2020,2.03
8/3/2020,3.83
8/4/2020,3.31
8/5/2020,4.2
8/6/2020,5.09
8/7/2020,4.38
8/10/2020,4.44
8/11/2020,3.86
8/12/2020,3.57
8/13/2020,3.55
8/14/2020,3.87
8/17/2020,3.72
8/18/2020,3.41
8/19/2020,3.14
8/20/2020,3.27
8/21/2020,2.71
8/24/2020,2.31
8/25/2020,2.44
8/26/2020,2.54
8/27/2020,2.26
8/28/2020,2.56
8/31/2020,2.48
9/1/2020,2.57
9/2/2020,2.38
9/3/2020,2.1
9/4/2020,2.09
9/8/2020,1.85
